"zip","price","sq_ft","lot_size","beds","baths","age","daysOnMarket"
"90045","1850000","3410","6821","5","4.5","1949","177"
"90043","475000","998","4801","2","1","1924","190"
"90068","605000","1293","11.7","2","2","1966","31"
"90065","735000","909","7588","2","1","1953","163"
"90069","650000","741","0","1","2","1972","32"
"90004","5200000","6081","0.4","5","6","1928","1"
"90016","485000","900","1.71","2","1.5","1949","32"
"90016","774500","1236","5060","3","1","1925","81"
"90024","1650000","2188","6978","4","3","1941","67"
"90034","1745000","2019","7150","4","3","1948","47"
"90046","3180000","8190","6565","12","12","1960",""
"90022","350000","2358","7668","5","4","1952",""
"90066","3900000","3849","7513","5","7.5","2019","8"
"90048","2075000","1937","6553","3","2","1927","85"
"90034","815000","666","5075","2","1","1925","43"
"90025","2150000","4075","6847","4","4.5","2018","70"
"90048","449000","630","0.57","1","1","1974","75"
"90047","470000","986","4275","2","1","1925","53"
"90018","816000","1500","5607","3","2","1910","33"
"90066","1600000","2758","7089","0","0","1952",""
"90069","710000","1258","0.72","2","2","1970","75"
"90035","4600000","11400","6501","0","0","1991","6565"
"90003","480000","1657","5405","0","0","1958","81"
"90064","2165000","2530","6345","4","3","1937","36"
"90047","490000","1346","6707","3","1","1926","63"
"90002","835000","2681","8383","5","4","1924","41"
"90049","2194000","2477","0.24","4","3","1949","46"
"90066","471000","778","3.28","1","1","1970","54"
"90066","2920000","3391","5669","4","6","2016","55"
"90032","520000","1855","6529","4","2","1906",""
"90006","765000","2384","5711","4","2","1910","51"
"90031","463000","663","4544","3","1","1926","90"
"90045","1075000","1730","5863","3","3","1950","27"
"90068","869000","1735","0.59","3","4.5","0","194"
"90018","785000","1664","7464","3","2","1923","59"
"90049","2230000","2150","6374","3","3","1958","59"
"90035","725000","1027","7543","2","3","1988","70"
"90034","1350600","1314","9035","3","2","1950","61"
"90048","1600000","1476","5400","3","2","1949",""
"90230","64000","1178","1297","2","3","1984",""
"90002","339900","672","2563","2","2","1923","82"
"90230","64000","1178","1297","2","3","1984",""
"90065","715000","792","2899","1","2","1921","60"
"90077","1644890","2073","0.36","3","2","1955","68"
"90043","180000","671","0.72","1","1","1949","326"
"90034","1021000","1576","6897","3","2","1942","70"
"90043","750000","1456","6101","3","2","1934","85"
"90041","786000","1900","7001","4","2","1923","32"
"90045","479000","877","0.55","1","1","1991","46"
"90032","390000","1247","0.73","3","3","1995","101"
"90049","529000","683","9716","1","1","1972","78"
"90004","1920000","3144","7008","5","4","1921","26"
"90066","525000","740","6990","1","1","1971","43"
"90066","1300000","1032","5399","2","1","1927","39"
"90045","981000","1637","6001","3","3","1941","51"
"90069","692500","1174","1.09","2","2","1974","41"
"90008","775000","2772","0.26","4","4","1960","12"
"90032","540000","1050","5055","3","1","1953","253"
"90031","699000","2500","3954","6","3","1910","132"
"90046","3760000","5014","1.16","5","9","1939","264"
"90042","870000","2588","5598","5","4","1911","224"
"90069","539950","797","1.64","1","1","1974","52"
"90011","1190000","7040","0","0","0","1990","41"
"90003","425000","1220","3146","0","0","1940","52"
"90031","775000","1254","3083","3","2","1902","60"
"90064","1164000","1368","6371","3","2","1950","48"
"90044","430000","2135","5200","0","0","1953","94"
"90003","476000","2120","6080","4","2","1922",""
"90040","620000","4","7946","0","0","1959","209"
"90038","1130000","1293","3400","2","2","1922","67"
"90027","3273500","3439","6483","4","5","1931","80"
"90012","540000","720","0.66","0","1","1899","90"
"90046","1850000","2675","0.27","2","3","1940","47"
"90064","3200000","3025","8751","4","4.5","1954","72"
"90069","613000","874","0.89","1","1","1973","40"
"90065","768000","1412","5607","3","2","1915","46"
"90059","390000","1512","3201","5","2","2007","104"
"90042","865000","1856","8425","5","3","1924","4275"
"90025","1006000","1619","0.62","2","2","1973","47"
"90011","685000","2304","6413","0","0","1926","40"
"90012","585000","910","3.17","2","1","2005","56"
"90044","426500","1511","5231","2","1","1937","96"
"90066","1350000","1250","5949","3","2","1944","158"
"90059","635000","2919","0.29","0","0","1908","119"
"90061","412000","1266","5320","3","2","1925","171"
"90043","505000","1404","6003","2","1","1925","54"
"90031","565000","698","4600","2","1","1923","62"
"90069","439000","2350","7492","2","4","1958","376"
"90024","760290","916","1.83","2","2","1973","63"
"90026","945000","2084","2350","2","2","1911","53"
"90046","1670000","1849","0.47","3","2","1962","69"
"90042","815000","1507","4901","3","2","1924","49"
"90077","1700000","2377","3.59","3","3","1976","85"
"90019","4150000","1294","6886","2","1","1925","237"
"90019","1845000","2525","8424","4","4.5","1949","34"
"90063","310000","570","3481","1","1","1925","110"
"90042","910000","1984","4676","3","2","1968","34"
"90026","580000","1160","1750","2","2","1922","27"
"90044","268500","1160","5898","3","1","1929","241"
